State,Site,Campaign,Season,Date,Point_no,Species,Sec_10,Sec_20,Sec_30,Sec_40,Sec_50,Sec_60,Sec_70,Sec_80,Sec_90,Sec_100,Sec_110,Sec_120,Sec_130,Sec_140,Sec_150,Sec_160,Sec_170,Sec_180,Comments
GA,TBCC,Walkers,B,21-Jun-24,10,SAND,F,M,M,M,M,F,F,M,M,F,F,M,F,M,M,M,F,M,SAND 4.
GA,TBCC,Walkers,B,21-Jun-24,8,SAND,M,M,M,F,M,M,M,F,F,F,M,M,M,M,M,F,F,M,SAND 5.
GA,TBCC,Walkers,B,21-Jun-24,7,SAND,M,F,F,F,F,M,M,M,M,F,M,M,M,F,M,M,M,M,SAND 2.
GA,TBCC,Walkers,B,21-Jun-24,4,SAND,M,M,F,F,F,M,F,M,F,M,M,M,M,M,M,F,F,M,SAND 3.
GA,TBCC,Walkers,B,21-Jun-24,3,SAND,M,M,F,M,F,M,M,M,M,F,F,M,F,M,F,F,M,M,SAND 8.
GA,TBCC,Walkers,B,21-Jun-24,1,SAND,M,F,F,M,F,F,F,M,F,M,M,F,F,F,F,F,M,F,SAND 2.
GA,TBCC,Walkers,B,8-Aug-24,10,SAND,M,M,M,M,F,F,F,F,M,F,M,M,F,F,M,F,M,F,SAND 4. foraging around tidepool and hightide wrackline
GA,TBCC,Walkers,B,8-Aug-24,9,SAND,M,M,F,F,M,F,F,M,F,M,M,F,F,M,F,M,M,F,SAND 2.
GA,TBCC,Walkers,B,8-Aug-24,8,SAND,M,M,F,M,M,M,F,M,F,M,M,F,M,F,M,M,M,F,SAND 1.
GA,TBCC,Walkers,B,8-Aug-24,5,SAND,F,F,M,M,M,M,M,F,M,F,M,M,M,F,F,F,F,M,SAND 1.
GA,TBCC,Walkers,B,8-Aug-24,4,SAND,F,F,M,M,F,M,F,M,M,F,F,M,F,M,M,M,F,M,SAND1.
GA,TBCC,Walkers,B,8-Aug-24,3,SAND,F,F,F,F,M,F,F,F,F,F,M,M,F,F,F,F,M,M,SAND 22. MIXED FLOCK
GA,TBCC,Walkers,B,8-Aug-24,3,PIPL,M,M,M,F,M,M,F,M,M,M,M,F,M,M,F,M,M,M,PIPL 2. Juveniles unbanded
GA,TBCC,Walkers,B,8-Aug-24,2,SAND,F,M,F,F,F,M,M,M,M,M,M,F,M,M,F,M,F,M,SAND 2.
GA,TBCC,Walkers,B,8-Aug-24,1,SAND,F,F,F,F,M,M,F,M,F,F,F,F,M,M,F,M,F,M,SAND 5.
NC,NWB,None,,22-Apr-24,2,AMOY,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,incubating for entire 3 mins
NC,NWB,None,,22-Apr-24,3,AMOY,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,incubating for entire 3 mins
NC,NWB,None,,22-Apr-24,4,SAND,M,M,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,
NC,HI,None,,24-Apr-24,3,AMOY,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,incubating for entire 3 mins
NC,HI,None,,24-Apr-24,4,AMOY,M,M,M,M,M,M,A,A,M,M,M,M,M,M,M,A,M,A,
NC,HI,None,,24-Apr-24,4,SAND,F,F,M,M,F,F,M,O,M,M,F,F,R,F,F,F,F,M,preening
NY,Arverne,None,,25-Apr-24,1,AMOY,M,M,A,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,
NY,Arverne,None,,25-Apr-24,1,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Nest 1A
NY,Arverne,None,,25-Apr-24,2,PIPL,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
NY,Arverne,None,,25-Apr-24,2,AMOY,R,R,R,R,R,R,R,R,R,R,R,R,R,R,M,FL,FL,OS,
NY,Arverne,None,,25-Apr-24,3,AMOY,M,R,M,M,R,R,R,A,R,F,F,M,R,F,M,A,R,F,
NY,Arverne,None,,25-Apr-24,4,AMOY,A,A,A,A,A,R,R,A,R,R,M,M,M,M,R,R,M,R,Territorial with other AMOY
NY,Far Rockaway,None,,25-Apr-24,3,AMOY,R,R,R,R,A,M,M,A,R,A,A,R,R,R,A,A,M,M,Unleashed dog 50ft away
NY,Far Rockaway,None,,25-Apr-24,2,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Resting right outside string fencing with another PIPL
NY,Far Rockaway,None,,25-Apr-24,2,AMOY,M,M,M,M,M,F,M,F,M,M,M,M,M,M,M,M,F,M,
SC,Harbor Island,Dog_leash,B,3-May-24,1,SAND,F,F,F,F,F,F,F,M,F,F,M,F,F,F,F,F,F,M,
SC,Harbor Island,Dog_leash,B,3-May-24,2,SAND,M,F,F,FL,F,F,F,F,F,FL,OS,OS,OS,OS,OS,OS,OS,OS,disturbed by off leash dogs
SC,Harbor Island,Dog_leash,B,3-May-24,3,AMOY,R,R,R,M,R,R,M,M,R,M,R,R,R,R,R,R,R,R,
SC,Harbor Island,Dog_leash,B,3-May-24,3,WIPL,R,R,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
SC,Harbor Island,Dog_leash,B,3-May-24,3,PIPL,F,R,F,F,R,R,R,R,R,R,R,R,R,R,R,R,R,R,
SC,Harbor Island,Dog_leash,B,3-May-24,3,SAND,R,R,R,M,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,No apparent disturbance
NC,NWB,None,,3-May-24,1,SAND,M,M,M,A,F,M,M,M,F,A,A,M,F,M,F,F,M,F,At 0:30 2 people walked by within 20m. At 1:50 2 people walked by within 20m. At 2:00 1 person walked by within 20m.
NC,NWB,None,,3-May-24,2,SAND,F,F,M,F,F,M,M,M,M,M,F,OS,F,OS,OS,OS,OS,OS,At 0:50 1 person walked by within 30m. At 2:20 2 people walked by within 20m and caused the bird to go out of view
NC,NWB,None,,3-May-24,3,SAND,F,F,F,F,F,F,F,F,F,F,F,F,F,F,M,F,F,F,
NC,NWB,None,,3-May-24,4,SAND,F,F,F,F,F,F,F,FL,A,F,F,F,F,F,F,F,F,F,At 1:20 1 person walked by within 20m causing the bird to fly.
NY,Arverne,None,,7-May-24,1,PIPL,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,
NY,Arverne,None,,7-May-24,1,AMOY,R,R,R,R,M,R,R,M,R,R,R,R,R,R,R,R,R,R,"Was incubating, movement from repositioning"
NY,Arverne,None,,7-May-24,2,AMOY,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,R,
NY,Arverne,None,,7-May-24,3,AMOY,F,M,R,M,M,M,M,F,M,A,A,M,F,M,M,M,F,M,
NY,Arverne,None,,7-May-24,3,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,M,M,R,R,R,R,At the shore
NY,Arverne,None,,7-May-24,4,AMOY,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Preening
NY,Far Rockaway,None,,7-May-24,3,AMOY,FL,FL,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,OS,
NY,Far Rockaway,None,,7-May-24,2,PIPL,R,R,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,A,
NY,Far Rockaway,None,,7-May-24,2,AMOY,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Incubating
NY,Far Rockaway,None,,7-May-24,1,AMOY,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Incubating
GA,EBGC,Dog_leash,B,8-May-24,6,SAND,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,
GA,EBGC,Dog_leash,B,8-May-24,3,SAND,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,F,F,R,
GA,EBGC,Dog_leash,B,8-May-24,2,SAND,F,F,F,F,F,F,F,F,F,F,F,R,F,R,R,R,R,R,
NY,Sunken,None,B,9-May-24,1,PIPL,F,F,A,F,F,F,F,F,M,F,A,F,F,F,F,F,F,A,
NY,Sunken,None,B,9-May-24,4,PIPL,F,M,F,F,F,F,F,A,A,M,F,F,F,A,A,M,F,F,Helicopter about 30 ft away at 2:00
NY,TOH,None,B,14-May-24,10,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Incubating Nest
NY,TOH,None,B,14-May-24,10,AMOY,R,R,A,R,R,R,R,R,R,R,R,M,R,R,R,R,R,R,Preening and standing
NY,TOH,None,B,14-May-24,9,AMOY,M,M,M,M,M,M,M,M,M,M,R,R,R,R,R,R,R,R,Foraging and then incubating
NY,TOH,None,B,14-May-24,9,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Incubating Nest
NY,TOH,None,B,14-May-24,8,AMOY,R,R,R,R,R,R,M,A,A,M,A,R,R,A,A,R,R,R,"2 vehicals went through, 1 at 1:10 and 1 at 2:20"
NY,TOH,None,B,14-May-24,7,SAND,F,F,F,F,F,F,F,F,F,F,F,F,F,F,M,M,M,M,Foraging in surf
NY,TOH,None,B,14-May-24,7,AMOY,M,M,A,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,Nesting in Tern Colony
NY,TOH,None,B,14-May-24,6,AMOY,R,R,R,R,R,R,R,M,M,M,M,M,R,M,M,M,A,M,"Preening, roosting"
NY,TOH,None,B,14-May-24,6,SAND,F,F,F,F,F,F,M,F,F,F,F,F,F,F,F,F,F,F,Foraging in surf
NY,TOH,None,B,14-May-24,5,AMOY,R,R,R,R,R,R,R,R,M,R,R,Fl,Fl,Fl,Fl,M,M,M,Resting and flew to another spot
NY,TOH,None,B,14-May-24,5,SAND,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,M,F,Foraging in surf
NY,TOH,None,B,14-May-24,5,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,Incubating Nest
NY,TOH,None,B,14-May-24,4,AMOY,M,M,M,R,R,M,M,M,M,M,M,R,M,M,Fl,R,R,M,"1:40- 2 people and 1 Plane,1st AMOY banded with 2 red bands on each leg flew out of site, watching 2nd AMOY at 2:40."
NY,TOH,None,B,14-May-24,4,SAND,F,F,M,F,F,F,M,M,M,M,F,M,M,M,Fl,F,F,F,1:10- guy walking down beach causing Sandpipers to move further down the beach
NY,TOH,None,B,14-May-24,3,AMOY,M,M,A,A,M,M,R,R,R,R,R,M,R,A,A,M,M,M,Walking with mate
NY,TOH,None,B,14-May-24,3,SAND,M,F,F,F,M,F,F,M,F,F,F,F,F,F,F,F,F,F,Foraging in surf
NY,Sunken,None,B,14-May-24,4,PIPL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,incubating nest 
NC,HI,None,,16-May-24,5,SAND,M,F,M,F,F,F,M,F,F,F,F,M,M,F,F,F,F,F,foraging in swash
NC,HI,None,,16-May-24,4,SAND,M,M,M,F,M,M,F,M,M,M,A,M,F,F,M,M,M,M,
NC,HI,None,,16-May-24,2,SAND,M,M,F,F,F,M,M,F,M,OS,OS,OS,M,F,F,OS,OS,OS,"foraging in swash, out of sight behind scarp"
GA,EBGC,Dog_leash,B,17-May-24,5,SAND,A,A,A,A,M,F,F,A,A,A,M,A,A,A,A,M,F,OS,
GA,EBGC,Dog_leash,B,17-May-24,3,SAND,F,M,M,M,M,M,M,M,FL,F,M,F,F,M,F,M,F,F,
GA,EBGC,Dog_leash,B,17-May-24,2,WIPL,A,A,A,A,A,M,A,A,A,A,A,A,A,M,,A,A,A,
