State,Site,Campaign,Date,First_HT,Steward,Time_in,Time_out,Temp_in,Temp_out,Wind_in,Wind_out,Implementation,Observers,Point_no,Start_time,Point_closed,Vehicles,Boats,Aerial,Dogs_un,Dogs_leash,People_move,People_rest,Predators,PIPL,AMOY,REKN,WIPL,SAND,SESA,Peeps,Comments
SC,Folly Beach Lighthouse Inlet,Walkers,22-May-24,7:45,N,11:00,12:48,29,29,13,8,B,Abby Burke Jen Tyrrell,1,11:00,N,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,
SC,Folly Beach Lighthouse Inlet,Walkers,22-May-24,7:45,N,11:00,12:48,29,29,13,8,B,Abby Burke Jen Tyrrell,2,11:30,P,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,
SC,Folly Beach Lighthouse Inlet,Walkers,22-May-24,7:45,N,11:00,12:48,29,29,13,8,B,Abby Burke Jen Tyrrell,3,11:58,P,0,2,0,0,0,4,1,0,0,2,0,0,0,0,4,"BBPL, LETE also observed"
SC,Folly Beach Lighthouse Inlet,Walkers,22-May-24,7:45,N,11:00,12:48,29,29,13,8,B,Abby Burke Jen Tyrrell,4,12:33,P,2,1,1,0,0,2,3,0,0,2,0,0,0,0,2,
SC,Folly Beach Lighthouse Inlet,Walkers,29-May-24,12:45,N,8:15,9:30,22,25,9,7,B,Abby Burke,1,8:16,N,0,0,0,0,0,2,0,0,0,0,0,9,0,0,5,
SC,Folly Beach Lighthouse Inlet,Walkers,29-May-24,12:45,N,8:15,9:30,22,25,9,7,B,Abby Burke,2,8:40,P,0,0,0,0,0,1,0,1,0,2,0,3,0,0,0,2 LETE
SC,Folly Beach Lighthouse Inlet,Walkers,29-May-24,12:45,N,8:15,9:30,22,25,9,7,B,Abby Burke,3,9:07,P,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,dog tracks seen
SC,Folly Beach Lighthouse Inlet,Walkers,29-May-24,12:45,N,8:15,9:30,22,25,9,7,B,Abby Burke,4,9:24,P,1,4,0,0,0,0,2,3,0,1,0,0,0,0,0,
SC,Folly Beach Lighthouse Inlet,Walkers,3-Jun-24,5:45,N,8:05,9:30,24,26,11,11,B,Abby Burke,1,8:05,N,0,1,0,0,0,0,0,0,0,0,0,1,3,0,3,
SC,Folly Beach Lighthouse Inlet,Walkers,3-Jun-24,5:45,N,8:05,9:30,24,26,11,11,B,Abby Burke,2,8:33,P,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,
SC,Folly Beach Lighthouse Inlet,Walkers,3-Jun-24,5:45,N,8:05,9:30,24,26,11,11,B,Abby Burke,3,9:24,P,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,
SC,Folly Beach Lighthouse Inlet,Walkers,3-Jun-24,5:45,N,8:05,9:30,24,26,11,11,B,Abby Burke,4,9:13,P,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,"Did point 4, then went back to do point 3."
SC,Folly Beach Lighthouse Inlet,Walkers,9-Jun-24,10:58,N,9:30,10:40,26,31,12,11,B,Abby Burke,1,10:30,N,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,Saw 2 chicks earlier in AM near this point. Spoke to Folly Beach patrol again.
SC,Folly Beach Lighthouse Inlet,Walkers,9-Jun-24,10:58,N,9:30,10:40,26,31,12,11,B,Abby Burke,2,9:35,P,0,1,0,0,0,4,0,0,0,2,0,1,0,0,0,A little farther down from point was 2 WIPL chicks and adults being territorial. Not sure if separate broods or same as before.
SC,Folly Beach Lighthouse Inlet,Walkers,9-Jun-24,10:58,N,9:30,10:40,26,31,12,11,B,Abby Burke,3,9:50,P,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,
SC,Folly Beach Lighthouse Inlet,Walkers,9-Jun-24,10:58,N,9:30,10:40,26,31,12,11,B,Abby Burke,4,10:05,P,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,one egret 
SC,Folly Beach Lighthouse Inlet,Walkers,17-Jun-24,4:45,N,7:33,8:30,29,30,19,20,B,Abby Burke,1,7:33,N,0,0,0,0,0,0,1,3,0,0,0,3,0,0,0,
SC,Folly Beach Lighthouse Inlet,Walkers,17-Jun-24,4:45,N,7:33,8:30,29,30,19,20,B,Abby Burke,2,7:56,P,0,0,0,0,0,3,0,5,0,0,0,3,0,0,0,
SC,Folly Beach Lighthouse Inlet,Walkers,17-Jun-24,4:45,N,7:33,8:30,29,30,19,20,B,Abby Burke,3,8:12,P,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1 WILL
SC,Folly Beach Lighthouse Inlet,Walkers,17-Jun-24,4:45,N,7:33,8:30,29,30,19,20,B,Abby Burke,4,8:24,P,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
SC,Folly Beach Lighthouse Inlet,Walkers,24-Jun-24,10:20,N,7:27,8:50,30,31,27,25,B,Abby Burke Erin Rogers,1,7:39,N,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,
SC,Folly Beach Lighthouse Inlet,Walkers,24-Jun-24,10:20,N,7:27,8:50,30,31,27,25,B,Abby Burke,2,8:14,P,0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,
SC,Folly Beach Lighthouse Inlet,Walkers,24-Jun-24,10:20,N,7:27,8:50,30,31,27,25,B,Abby Burke,3,8:32,P,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,
SC,Folly Beach Lighthouse Inlet,Walkers,24-Jun-24,10:20,N,7:27,8:50,30,31,27,25,B,Abby Burke Erin Rogers,4,8:40,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
SC,Folly Beach Lighthouse Inlet,Walkers,1-Jul-24,4:24,N,7:18,8:20,30,31,6,8,B,Abby Burke Erin Rogers,1,7:19,N,0,0,0,0,0,1,0,1,0,0,0,10,0,0,0,
SC,Folly Beach Lighthouse Inlet,Walkers,1-Jul-24,4:24,N,7:18,8:20,30,31,6,8,B,Abby Burke Erin Rogers,2,7:51,P,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2 WILL
